IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.139.13,2095,2095,false,SIN,Asia Pacific,Singapore,247,10.63
47.245.96.80,8080,8080,false,SIN,Asia Pacific,Singapore,203,8.78
8.219.139.13,2053,2053,true,SIN,Asia Pacific,Singapore,257,8.71
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,255,8.66
202.81.235.90,50100,443,true,SIN,Asia Pacific,Singapore,69,8.43
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,246,7.86
157.254.33.3,37000,443,true,SIN,Asia Pacific,Singapore,11,6.62
8.219.54.203,443,443,true,SIN,Asia Pacific,Singapore,219,4.09
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,63,3.92
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,65,3.77
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,61,3.53
45.87.103.39,50007,443,true,SIN,Asia Pacific,Singapore,27,3.43
47.245.96.80,2052,2052,false,SIN,Asia Pacific,Singapore,201,3.23
47.245.96.80,2095,2095,false,SIN,Asia Pacific,Singapore,213,3.23
47.245.96.80,2086,2086,false,SIN,Asia Pacific,Singapore,203,3.08
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,241,2.99
47.236.75.163,8443,443,true,SIN,Asia Pacific,Singapore,218,2.62
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,55,2.53
47.245.96.80,2087,2087,true,SIN,Asia Pacific,Singapore,202,2.50
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,244,2.37
154.17.225.138,59430,443,true,SIN,Asia Pacific,Singapore,169,2.07
47.245.96.80,80,80,false,SIN,Asia Pacific,Singapore,200,1.74
47.245.96.80,2083,2083,true,SIN,Asia Pacific,Singapore,197,1.32
47.245.96.80,2096,2096,true,SIN,Asia Pacific,Singapore,208,1.21
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,208,1.12
8.222.233.183,443,443,true,SIN,Asia Pacific,Singapore,228,1.12
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,43,1.09
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,252,1.07
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,253,0.87
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,43,0.63
8.222.193.65,2086,2086,false,SIN,Asia Pacific,Singapore,241,0.51
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,218,0.42
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,251,0.34
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,218,0.31
8.222.193.65,2052,2052,false,SIN,Asia Pacific,Singapore,244,0.25
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,216,0.25
172.93.188.140,443,443,true,SIN,Asia Pacific,Singapore,164,0.09
8.213.208.51,8443,443,true,SIN,Asia Pacific,Singapore,368,0.08
8.222.193.65,2095,2095,false,SIN,Asia Pacific,Singapore,251,0.00
152.67.194.136,443,443,true,SIN,Asia Pacific,Singapore,318,0.00
43.163.3.63,443,443,true,SIN,Asia Pacific,Singapore,53,0.00
185.126.80.181,51207,443,true,SIN,Asia Pacific,Singapore,213,0.00
54.169.46.224,443,443,true,SIN,Asia Pacific,Singapore,60,0.00
43.134.227.133,80,80,false,SIN,Asia Pacific,Singapore,61,0.00
124.156.202.172,443,443,true,SIN,Asia Pacific,Singapore,47,0.00
43.156.253.94,443,443,true,SIN,Asia Pacific,Singapore,54,0.00
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,58,0.00
43.156.181.203,443,443,true,SIN,Asia Pacific,Singapore,54,0.00
43.134.34.18,443,443,true,SIN,Asia Pacific,Singapore,59,0.00
